"","abortion","state","eth","male","age","educ","party"
"103",1,"IL","White",-0.5,"40-49","Post-grad","Independent"
"104",1,"GA","White",0.5,"60-69","4-Year College","Republican"
"105",0,"SC","White",-0.5,"40-49","Some college","Democrat"
"106",0,"FL","White",-0.5,"60-69","Some college","Independent"
"107",1,"IN","White",0.5,"60-69","Some college","Independent"
"108",0,"OH","White",-0.5,"40-49","Some college","Independent"
"109",0,"CA","White",-0.5,"60-69","4-Year College","Democrat"
"110",1,"WI","White",-0.5,"60-69","4-Year College","Republican"
"111",1,"WI","White",0.5,"40-49","Some college","Independent"
"112",0,"GA","White",-0.5,"30-39","4-Year College","Democrat"
"113",1,"AL","White",-0.5,"60-69","4-Year College","Independent"
"114",0,"FL","White",-0.5,"50-59","Some college","Republican"
"115",0,"AL","White",-0.5,"50-59","4-Year College","Republican"
"116",1,"GA","White",-0.5,"70+","Some college","Republican"
"117",1,"ME","White",0.5,"50-59","Some college","Independent"
"118",0,"OH","White",-0.5,"40-49","Post-grad","Democrat"
"119",0,"RI","White",-0.5,"40-49","Post-grad","Republican"
"120",1,"CA","Hispanic",0.5,"50-59","4-Year College","Republican"
"121",0,"VA","Other",-0.5,"50-59","4-Year College","Independent"
"122",0,"CA","White",-0.5,"70+","4-Year College","Democrat"
"123",0,"MI","Black",-0.5,"30-39","HS","Independent"
"124",1,"IL","Black",-0.5,"40-49","Post-grad","Democrat"
"125",1,"MS","Black",-0.5,"50-59","4-Year College","Democrat"
"126",0,"FL","Black",-0.5,"50-59","Post-grad","Democrat"
"127",1,"VA","White",-0.5,"60-69","HS","Independent"
"128",0,"CA","White",0.5,"60-69","HS","Democrat"
"129",0,"IL","White",-0.5,"40-49","Some college","Democrat"
"130",0,"CA","White",-0.5,"50-59","Some college","Democrat"
"131",1,"IL","White",0.5,"70+","Post-grad","Independent"
"132",1,"OH","Other",0.5,"50-59","Some college","Independent"
"133",0,"NJ","White",-0.5,"60-69","4-Year College","Democrat"
"134",1,"MI","White",-0.5,"50-59","4-Year College","Independent"
"135",0,"VA","White",-0.5,"60-69","4-Year College","Republican"
"136",1,"FL","White",0.5,"60-69","Some college","Independent"
"137",1,"CA","White",-0.5,"70+","Some college","Independent"
"138",1,"MI","White",0.5,"70+","Some college","Republican"
"139",0,"NY","White",-0.5,"30-39","HS","Democrat"
"140",1,"NV","White",-0.5,"60-69","Post-grad","Republican"
"141",0,"WA","White",0.5,"50-59","HS","Democrat"
"142",0,"TN","White",-0.5,"30-39","HS","Independent"
"143",0,"AZ","White",-0.5,"60-69","Some college","Democrat"
"144",1,"AK","White",0.5,"50-59","Some college","Independent"
"145",0,"NH","Other",0.5,"60-69","Post-grad","Democrat"
"146",1,"MT","White",-0.5,"50-59","HS","Independent"
"147",0,"CO","White",-0.5,"30-39","4-Year College","Republican"
"148",1,"SC","White",0.5,"50-59","HS","Republican"
"149",1,"IN","White",-0.5,"40-49","HS","Republican"
"150",1,"TN","White",0.5,"70+","4-Year College","Republican"
"151",1,"TX","Hispanic",-0.5,"50-59","Some college","Democrat"
"152",0,"CO","White",-0.5,"50-59","Some college","Independent"
"153",0,"MD","White",-0.5,"18-29","Some college","Independent"
"154",0,"WA","White",-0.5,"30-39","HS","Democrat"
"155",0,"TN","White",0.5,"40-49","4-Year College","Independent"
"156",1,"LA","White",0.5,"60-69","Some college","Republican"
"157",1,"SD","White",0.5,"60-69","HS","Republican"
"158",0,"GA","White",-0.5,"40-49","Some college","Independent"
"159",0,"LA","White",-0.5,"50-59","Post-grad","Democrat"
"160",1,"IA","White",0.5,"70+","Post-grad","Republican"
"161",0,"GA","Black",-0.5,"60-69","Post-grad","Independent"
"162",0,"AL","Black",-0.5,"60-69","Post-grad","Independent"
"163",0,"VA","White",-0.5,"30-39","Post-grad","Independent"
"164",0,"NC","White",-0.5,"60-69","4-Year College","Democrat"
"165",0,"AL","White",-0.5,"50-59","Post-grad","Democrat"
"166",0,"TN","White",0.5,"60-69","4-Year College","Democrat"
"167",0,"CA","Other",-0.5,"18-29","HS","Democrat"
"168",0,"NC","White",0.5,"50-59","4-Year College","Democrat"
"169",1,"AL","White",0.5,"70+","Some college","Independent"
"170",0,"KS","White",-0.5,"70+","Post-grad","Independent"
"171",0,"TX","White",0.5,"70+","Some college","Democrat"
"172",0,"UT","White",0.5,"18-29","4-Year College","Independent"
"173",1,"IA","White",0.5,"70+","4-Year College","Independent"
"174",0,"GA","White",0.5,"70+","4-Year College","Republican"
"175",1,"NY","Other",-0.5,"18-29","Some college","Democrat"
"176",1,"IA","White",-0.5,"40-49","4-Year College","Democrat"
"177",1,"TN","White",0.5,"60-69","Some college","Independent"
"178",1,"NJ","Black",0.5,"50-59","HS","Independent"
"179",0,"WV","White",-0.5,"40-49","Some college","Democrat"
"180",1,"FL","Other",-0.5,"30-39","Post-grad","Independent"
"181",0,"PA","White",-0.5,"40-49","Some college","Independent"
"182",0,"AK","White",-0.5,"50-59","Post-grad","Independent"
"183",0,"KY","White",0.5,"50-59","Some college","Republican"
"184",1,"IL","White",-0.5,"40-49","Post-grad","Democrat"
"185",1,"LA","White",0.5,"60-69","Post-grad","Republican"
"186",0,"AL","White",-0.5,"40-49","No HS","Democrat"
"187",0,"TX","White",-0.5,"40-49","Some college","Republican"
"188",1,"TX","Hispanic",-0.5,"30-39","HS","Independent"
"189",1,"KY","White",-0.5,"50-59","Some college","Republican"
"190",0,"NY","White",-0.5,"50-59","4-Year College","Democrat"
"191",1,"IL","White",-0.5,"50-59","Post-grad","Independent"
"192",1,"KS","White",0.5,"50-59","Some college","Republican"
"193",0,"AR","White",-0.5,"60-69","Some college","Independent"
"194",1,"SD","White",0.5,"50-59","HS","Republican"
"195",0,"AL","White",-0.5,"60-69","Some college","Democrat"
"196",0,"CA","White",-0.5,"18-29","Some college","Democrat"
"197",1,"MS","Black",-0.5,"50-59","Some college","Independent"
"198",1,"AL","Black",-0.5,"30-39","Some college","Independent"
"199",1,"NE","White",0.5,"60-69","Some college","Independent"
"200",0,"SD","White",-0.5,"18-29","Some college","Independent"
"201",1,"KS","White",0.5,"40-49","Some college","Independent"
"202",1,"GA","White",0.5,"40-49","Some college","Independent"
"203",1,"KS","White",-0.5,"50-59","Some college","Democrat"
"204",0,"CA","Other",0.5,"30-39","HS","Republican"
"205",0,"NM","Hispanic",-0.5,"60-69","Some college","Democrat"
"206",0,"SD","White",-0.5,"40-49","4-Year College","Democrat"
"207",0,"IA","White",-0.5,"50-59","Some college","Independent"
"208",0,"NV","White",0.5,"50-59","HS","Democrat"
"209",1,"NE","White",0.5,"70+","Some college","Republican"
"210",0,"WV","White",-0.5,"18-29","Some college","Independent"
"211",0,"CT","White",-0.5,"30-39","HS","Independent"
"212",0,"MN","White",-0.5,"18-29","Some college","Independent"
"213",1,"NY","White",-0.5,"70+","HS","Republican"
"214",1,"KY","White",-0.5,"70+","No HS","Republican"
